darkelf_village_001;20180001;15258;15631;-4366;0;town_map_darkelf_t00;1;1
darkelf_village_002;20180002;7557;18055;-4366;0;town_map_darkelf_t00;1;1
dwarven_village_001;23120001;115462;-177295;-880;0;town_map_dwarf_t00;1;1
dwarven_village_002;23120002;117450;-182299;-1488;0;town_map_dwarf_t00;1;1
dwarven_village_003;23120003;116657;-183997;-1550;0;town_map_dwarf_t00;1;1
elf_village_001;21190001;47616;51349;-2968;0;town_map_elf_t00;1;1
elf_village_002;21190002;45915;46695;-2969;0;town_map_elf_t00;1;1
elf_village_003;21190003;43175;51424;-2968;0;town_map_elf_t00;1;1
human_village_001;17250001;-82873;244808;-3717;0;town_map_talking_t00;1;1
human_village_002;17250002;-82765;241439;-3718;0;town_map_talking_t00;1;1
human_village_003;17250003;-86121;241452;-3719;0;town_map_talking_t00;1;1
orc_village_001;18140001;-45824;-116764;-219;0;town_map_orc_t00;1;1
orc_village_002;18140002;-46504;-110394;-220;0;town_map_orc_t00;1;1
orc_village_003;18140003;-47332;-113246;-220;0;town_map_orc_t00;1;1
aden_castle_throne;24180017;147456;3272;-42;1;none;0;0
oren_castle_throne;22190010;83237;37192;-2286;1;none;0;0
dion_castle_throne;20220010;22073;160989;-2686;1;none;0;0
giran_castle_throne;23220010;117161;145097;-2559;1;none;0;0
gludio_castle_throne;19210010;-18112;108761;-2492;1;none;0;0
innadril_castle_throne;23250010;116024;249768;-782;1;none;0;0
goddard_castle_throne;24160024;147464;-49339;-2123;1;none;0;0
schuttgart_castle_throne;22130016;77551;-153410;-389;1;none;0;0
rune_castle_throne;20160010;10103;-49153;-272;1;none;0;0
floran_arena_001;20230001;12110;182771;-3538;2;none;0;0
floran_arena_002;20230002;12979;183365;-3538;2;none;0;0
giran_arena_001;22220001;73766;142489;-3748;2;none;0;0
giran_arena_002;22220002;72200;143102;-3748;2;none;0;0
gludin_arena_001;17220015;-88697;142316;-3621;2;none;0;0
gludin_arena_002;17220016;-87136;142491;-3623;2;none;0;0
Dragonspine_flagpole;20200500;11546;95030;-2498;3;none;0;0
