# id;chest;legs;head;gloves;feet;skill_id;shield;shield_skill_id

# NO GRADE

# Wooden Breastplate set (heavy)
1;23;2386;43;0;0;3500;0;0;0
# Devotion robe set (robe)
2;1101;1104;44;0;0;3501;0;0;0

# D GRADE

# Mithril Breastplate set(heavy)
3;58;59;47;0;0;3502;628;3543;3611
# Brigandine Armor set
4;352;2378;2411;0;0;3506;2493;3544;3611
# Reinforced leather set
5;394;416;0;0;2422;3503;0;0;3612
# Manticore skin set
6;395;417;0;0;2424;3505;0;0;3612
# Tunic of knowledge set
7;436;469;0;2447;0;3504;0;0;3613
# Mithril Tunic
8;437;470;0;2450;0;3507;0;0;3613

# C GRADE

# Chain Mail Shirt set
9;354;381;2413;0;0;3509;2495;3545;3614
# Composite Armor set
10;60;0;517;0;0;3512;107;3546;3614
# Full Plate Armor set
11;356;0;2414;0;0;3516;2497;3547;3614

# Mithrill shirt set
12;397;2387;0;0;62;3508;0;0;3615
# Plated leather set
13;398;418;0;0;2431;3511;0;0;3615
# Theca leather set
14;400;420;0;0;2436;3514;0;0;3615
# Drake leather set
15;401;0;0;0;2437;3515;0;0;3615

# Karmian robe set
16;439;471;0;2454;0;3510;0;0;3616
# Demon robe set
17;441;472;0;2459;0;3513;0;0;3616
# Divine robe set
18;442;473;0;2463;0;3517;0;0;3616

# B GRADE

# Zubei's Breastplate set
19;357;383;503;5710;5726;3518;0;0;3617
# Zubei's leather set
20;2384;2388;503;5711;5727;3520;0;0;3618
# Zubei robe set
21;2397;2402;503;5712;5728;3522;0;0;3619

# Avadon heavy set
22;2376;2379;2415;5714;5730;3519;673;3548;3617
# Avadon leather set
23;2390;0;2415;5715;5731;3521;0;0;3618
# Avadon robe set
24;2406;0;2415;5716;5732;3523;0;0;3619

# Blue Wolf's Breastplate set
25;358;2380;2416;5718;5734;3524;0;0;3617
# Blue wolf leather set
26;2391;0;2416;5719;5735;3526;0;0;3618
# Blue Wolf robe set
27;2398;2403;2416;5720;5736;3528;0;0;3619

# Doom plate heavy set
28;2381;0;2417;5722;5738;3525;110;3549;3617
# Doom leather set
29;2392;0;2417;5723;5739;3527;0;0;3618
# Doom robe set 
30;2399;2404;2417;5724;5740;3529;0;0;3619

# A GRADE

# Dark Crystal Breastplate set
31;365;388;512;5765;5777;3530;641;3550;3620
# Dark Crystal leather set
32;2385;2389;512;5766;5778;3532;0;0;3621
# Dark Crystal robe set
33;2407;0;512;5767;5779;3535;0;0;3622

# Tallum plate heavy set
34;2382;0;547;5768;5780;3531;0;0;3620
# Tallum leather set
35;2393;0;547;5769;5781;3533;0;0;3621
# Tallum robe set
36;2400;2405;547;5770;5782;3534;0;0;3622

# Nightmare heavy set
37;374;0;2418;5771;5783;3536;2498;3551;3620
# Nightmare leather set
38;2394;0;2418;5772;5784;3538;0;0;3621
# Robe of nightmare set
39;2408;0;2418;5773;5785;3540;0;0;3622

# Majestic plate heavy set
40;2383;0;2419;5774;5786;3537;0;0;3620
# Majestic leather set
41;2395;0;2419;5775;5787;3539;0;0;3621
# Majestic robe set
42;2409;0;2419;5776;5788;3541;0;0;3622

# S GRADE

# Imperial crusader set
43;6373;6374;6378;6375;6376;3553;6377;3554;3623
# Draconic leather set
44;6379;0;6382;6380;6381;3555;0;0;3624
# Major arcana robe set
45;6383;0;6386;6384;6385;3556;0;0;3625

# Clan Sets

# Clan oath Armor set (heavy)
46;7851;0;7850;7852;7853;3605;0;0;3611
# Clan Oath Brigandine set (light)
47;7854;0;7850;7855;7856;3606;0;0;3612
# Clan Oath Aketon set (robe)
48;7857;0;7850;7858;7859;3607;0;0;3613

# Apella plate armor set (heavy)
49;7861;0;7860;7862;7863;3608;0;0;3620
# Apella Brigandine set (light)
50;7864;0;7860;7865;7866;3609;0;0;3621
# Apella Doublet set (robe)
51;7867;0;7860;7868;7869;3610;0;0;3622
